"DiagnosisCode","Year","Diagnoses","Treat.and.Release","Patient.Admitted","CCSR for ICD-10-CM Body System"
"BLD","2017","BLD009: Postproc complications of spleen",NA,NA,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD010: Oth hematologic conditions",73,81,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD006: Coagulation and hemorrhagic disorders",1087,953,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD007: Diseases of white blood cells",1068,494,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD008: Immunity disorders",153,73,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD001: Nutritional anemia",1209,792,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD002: Hemolytic anemia",43,103,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD003: Aplastic anemia",3806,550,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD004: Acute posthemorrhagic anemia",331,589,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD005: Sickle cell trait/anemia",557,550,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD009: Postproc complications of spleen",NA,13,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD010: Oth hematologic conditions",114,91,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD006: Coagulation and hemorrhagic disorders",790,804,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD004: Acute posthemorrhagic anemia",343,617,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD005: Sickle cell trait/anemia",729,607,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD009: Postproc complications of spleen",NA,NA,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD010: Oth hematologic conditions",102,77,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD007: Diseases of white blood cells",1188,479,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD009: Postproc complications of spleen",NA,16,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD010: Oth hematologic conditions",105,80,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD006: Coagulation and hemorrhagic disorders",1156,942,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD008: Immunity disorders",104,72,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD008: Immunity disorders",80,39,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2020","BLD007: Diseases of white blood cells",799,447,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"CIR","2016","CIR021: Acute hemorrhagic cerebrovascular disease",1694,1337,"Diseases of the circulatory system"
"CIR","2016","CIR002: Acute rheumatic heart disease",NA,NA,"Diseases of the circulatory system"
"CIR","2016","CIR003: Nonrheumatic and unspecified valve disorders",139,286,"Diseases of the circulatory system"
"CIR","2016","CIR001: Chronic rheumatic heart disease",25,77,"Diseases of the circulatory system"
"CIR","2016","CIR019: Heart failure",5608,12741,"Diseases of the circulatory system"
"CIR","2016","CIR020: Cerebral infarction",1789,8341,"Diseases of the circulatory system"
"CIR","2016","CIR007: Essential hypertension",18408,790,"Diseases of the circulatory system"
"CIR","2016","CIR008: Hypertens w/complication/secondary hypertens",954,646,"Diseases of the circulatory system"
"CIR","2016","CIR009: Acute myocardial infarction",1931,10053,"Diseases of the circulatory system"
"CIR","2017","CIR019: Heart failure",5428,12888,"Diseases of the circulatory system"
"CIR","2017","CIR020: Cerebral infarction",1699,8177,"Diseases of the circulatory system"
"CIR","2017","CIR021: Acute hemorrhagic cerebrovascular disease",1456,1407,"Diseases of the circulatory system"
"CIR","2017","CIR023: Occlusion of cerebral artery w/o infarction",184,213,"Diseases of the circulatory system"
"CIR","2017","CIR024: Oth and ill-defined cerebrovascular disease",206,156,"Diseases of the circulatory system"
"CIR","2017","CIR026: Peripheral and visceral vascular disease",508,434,"Diseases of the circulatory system"
"CIR","2017","CIR027: Arterial dissections",171,208,"Diseases of the circulatory system"
"CIR","2016","CIR004: Endocarditis and endocardial disease",42,152,"Diseases of the circulatory system"
"CIR","2016","CIR005: Myocarditis and cardiomyopathy",281,213,"Diseases of the circulatory system"
"CIR","2016","CIR006: Pericarditis and pericardial disease",519,499,"Diseases of the circulatory system"
"CIR","2017","CIR002: Acute rheumatic heart disease",12,NA,"Diseases of the circulatory system"
"CIR","2017","CIR003: Nonrheumatic and unspecified valve disorders",113,270,"Diseases of the circulatory system"
"CIR","2016","CIR023: Occlusion of cerebral artery w/o infarction",143,210,"Diseases of the circulatory system"
"CIR","2016","CIR024: Oth and ill-defined cerebrovascular disease",199,154,"Diseases of the circulatory system"
"CIR","2016","CIR026: Peripheral and visceral vascular disease",559,496,"Diseases of the circulatory system"
"CIR","2016","CIR027: Arterial dissections",174,171,"Diseases of the circulatory system"
"CIR","2016","CIR028: Gangrene",86,78,"Diseases of the circulatory system"
"CIR","2016","CIR029: Aortic/periph/visceral artery aneurysms",525,243,"Diseases of the circulatory system"
"CIR","2016","CIR015: Other and ill-defined heart disease",97,180,"Diseases of the circulatory system"
"CIR","2016","CIR016: Conduction disorders",554,836,"Diseases of the circulatory system"
"CIR","2016","CIR017: Cardiac dysrhythmias",12162,8220,"Diseases of the circulatory system"
"CIR","2016","CIR018: Cardiac arrest and ventricular fibrillation",2837,400,"Diseases of the circulatory system"
"CIR","2017","CIR001: Chronic rheumatic heart disease",17,103,"Diseases of the circulatory system"
"CIR","2016","CIR035: Varicose veins of lower extremity",773,39,"Diseases of the circulatory system"
"CIR","2016","CIR036: Postthrombotic synd/venous insufficiency",327,80,"Diseases of the circulatory system"
"CIR","2016","CIR038: Postproc circulatory system complication",275,166,"Diseases of the circulatory system"
"CIR","2016","CIR039: Oth specified diseases of veins & lymphatics",2530,363,"Diseases of the circulatory system"
"CIR","2018","CIR001: Chronic rheumatic heart disease",17,117,"Diseases of the circulatory system"
"CIR","2018","CIR002: Acute rheumatic heart disease",11,NA,"Diseases of the circulatory system"
"CIR","2018","CIR003: Nonrheumatic and unspecified valve disorders",121,285,"Diseases of the circulatory system"
"CIR","2018","CIR004: Endocarditis and endocardial disease",35,161,"Diseases of the circulatory system"
"CIR","2018","CIR005: Myocarditis and cardiomyopathy",226,180,"Diseases of the circulatory system"
"CIR","2018","CIR006: Pericarditis and pericardial disease",502,539,"Diseases of the circulatory system"
"CIR","2018","CIR007: Essential hypertension",16871,96,"Diseases of the circulatory system"
"CIR","2017","CIR028: Gangrene",57,64,"Diseases of the circulatory system"
"CIR","2017","CIR029: Aortic/periph/visceral artery aneurysms",474,253,"Diseases of the circulatory system"
"CIR","2017","CIR030: Aortic/periph arterial embolism, thrombosis",151,287,"Diseases of the circulatory system"
"CIR","2017","CIR031: Hypotension",3522,1100,"Diseases of the circulatory system"
"CIR","2017","CIR032: Oth circulatory disease",263,108,"Diseases of the circulatory system"
"CIR","2017","CIR033: Acute phlebitis",5158,2071,"Diseases of the circulatory system"
"CIR","2016","CIR010: Complications of acute myocardial infarction",NA,22,"Diseases of the circulatory system"
"CIR","2016","CIR011: Coronary atherosclerosis/oth heart disease",4238,2777,"Diseases of the circulatory system"
"CIR","2016","CIR012: Nonspecific chest pain",104739,1960,"Diseases of the circulatory system"
"CIR","2016","CIR013: Acute pulmonary embolism",933,3757,"Diseases of the circulatory system"
"CIR","2016","CIR014: Pulmonary heart disease",128,227,"Diseases of the circulatory system"
"CIR","2018","CIR019: Heart failure",6496,15360,"Diseases of the circulatory system"
"CIR","2018","CIR020: Cerebral infarction",2158,8845,"Diseases of the circulatory system"
"CIR","2018","CIR021: Acute hemorrhagic cerebrovascular disease",1591,1542,"Diseases of the circulatory system"
"CIR","2018","CIR023: Occlusion of cerebral artery w/o infarction",262,242,"Diseases of the circulatory system"
"CIR","2018","CIR024: Oth and ill-defined cerebrovascular disease",221,178,"Diseases of the circulatory system"
"CIR","2018","CIR026: Peripheral and visceral vascular disease",604,462,"Diseases of the circulatory system"
"CIR","2018","CIR027: Arterial dissections",195,232,"Diseases of the circulatory system"
"CIR","2017","CIR004: Endocarditis and endocardial disease",32,130,"Diseases of the circulatory system"
"CIR","2017","CIR005: Myocarditis and cardiomyopathy",212,179,"Diseases of the circulatory system"
"CIR","2017","CIR006: Pericarditis and pericardial disease",445,495,"Diseases of the circulatory system"
"CIR","2017","CIR007: Essential hypertension",15611,117,"Diseases of the circulatory system"
"CIR","2017","CIR008: Hypertens w/complication/secondary hypertens",3207,2019,"Diseases of the circulatory system"
"CIR","2017","CIR009: Acute myocardial infarction",1862,9685,"Diseases of the circulatory system"
"CIR","2016","CIR030: Aortic/periph arterial embolism, thrombosis",179,300,"Diseases of the circulatory system"
"CIR","2016","CIR031: Hypotension",3499,986,"Diseases of the circulatory system"
"CIR","2016","CIR032: Oth circulatory disease",305,116,"Diseases of the circulatory system"
"CIR","2016","CIR033: Acute phlebitis",5449,2322,"Diseases of the circulatory system"
"CIR","2016","CIR034: Chronic phlebitis",339,45,"Diseases of the circulatory system"
"CIR","2017","CIR015: Other and ill-defined heart disease",87,149,"Diseases of the circulatory system"
"CIR","2017","CIR016: Conduction disorders",535,970,"Diseases of the circulatory system"
"CIR","2017","CIR017: Cardiac dysrhythmias",10714,8317,"Diseases of the circulatory system"
"CIR","2017","CIR018: Cardiac arrest and ventricular fibrillation",2758,434,"Diseases of the circulatory system"
"CIR","2019","CIR024: Oth and ill-defined cerebrovascular disease",226,184,"Diseases of the circulatory system"
"CIR","2019","CIR026: Peripheral and visceral vascular disease",785,455,"Diseases of the circulatory system"
"CIR","2019","CIR027: Arterial dissections",226,228,"Diseases of the circulatory system"
"CIR","2019","CIR028: Gangrene",76,95,"Diseases of the circulatory system"
"CIR","2019","CIR029: Aortic/periph/visceral artery aneurysms",619,315,"Diseases of the circulatory system"
"CIR","2019","CIR030: Aortic/periph arterial embolism, thrombosis",122,252,"Diseases of the circulatory system"
"CIR","2019","CIR031: Hypotension",4643,1337,"Diseases of the circulatory system"
"CIR","2018","CIR008: Hypertens w/complication/secondary hypertens",3538,2247,"Diseases of the circulatory system"
"CIR","2018","CIR009: Acute myocardial infarction",2109,10486,"Diseases of the circulatory system"
"CIR","2018","CIR010: Complications of acute myocardial infarction",NA,13,"Diseases of the circulatory system"
"CIR","2018","CIR011: Coronary atherosclerosis/oth heart disease",4055,2579,"Diseases of the circulatory system"
"CIR","2018","CIR012: Nonspecific chest pain",101436,1627,"Diseases of the circulatory system"
"CIR","2018","CIR013: Acute pulmonary embolism",1169,3861,"Diseases of the circulatory system"
"CIR","2017","CIR034: Chronic phlebitis",327,41,"Diseases of the circulatory system"
"CIR","2017","CIR035: Varicose veins of lower extremity",759,49,"Diseases of the circulatory system"
"CIR","2017","CIR036: Postthrombotic synd/venous insufficiency",378,86,"Diseases of the circulatory system"
"CIR","2017","CIR038: Postproc circulatory system complication",229,183,"Diseases of the circulatory system"
"CIR","2017","CIR039: Oth specified diseases of veins & lymphatics",2324,340,"Diseases of the circulatory system"
"CIR","2019","CIR001: Chronic rheumatic heart disease",16,95,"Diseases of the circulatory system"
"CIR","2019","CIR002: Acute rheumatic heart disease",13,NA,"Diseases of the circulatory system"
"CIR","2019","CIR003: Nonrheumatic and unspecified valve disorders",141,308,"Diseases of the circulatory system"
"CIR","2019","CIR004: Endocarditis and endocardial disease",26,120,"Diseases of the circulatory system"
"CIR","2019","CIR005: Myocarditis and cardiomyopathy",225,180,"Diseases of the circulatory system"
"CIR","2019","CIR006: Pericarditis and pericardial disease",490,544,"Diseases of the circulatory system"
"CIR","2019","CIR007: Essential hypertension",17770,92,"Diseases of the circulatory system"
"CIR","2018","CIR028: Gangrene",57,85,"Diseases of the circulatory system"
"CIR","2018","CIR029: Aortic/periph/visceral artery aneurysms",527,270,"Diseases of the circulatory system"
"CIR","2018","CIR030: Aortic/periph arterial embolism, thrombosis",101,271,"Diseases of the circulatory system"
"CIR","2018","CIR031: Hypotension",4049,1132,"Diseases of the circulatory system"
"CIR","2018","CIR032: Oth circulatory disease",291,116,"Diseases of the circulatory system"
"CIR","2018","CIR033: Acute phlebitis",5205,2053,"Diseases of the circulatory system"
"CIR","2017","CIR010: Complications of acute myocardial infarction",NA,NA,"Diseases of the circulatory system"
"CIR","2017","CIR011: Coronary atherosclerosis/oth heart disease",3923,2549,"Diseases of the circulatory system"
"CIR","2017","CIR012: Nonspecific chest pain",97039,1770,"Diseases of the circulatory system"
"CIR","2017","CIR013: Acute pulmonary embolism",946,3581,"Diseases of the circulatory system"
"CIR","2017","CIR014: Pulmonary heart disease",137,210,"Diseases of the circulatory system"
"CIR","2019","CIR019: Heart failure",7046,16816,"Diseases of the circulatory system"
"CIR","2019","CIR020: Cerebral infarction",2314,9408,"Diseases of the circulatory system"
"CIR","2019","CIR021: Acute hemorrhagic cerebrovascular disease",1591,1575,"Diseases of the circulatory system"
"CIR","2019","CIR023: Occlusion of cerebral artery w/o infarction",367,250,"Diseases of the circulatory system"
"CIR","2020","CIR005: Myocarditis and cardiomyopathy",156,124,"Diseases of the circulatory system"
"CIR","2020","CIR006: Pericarditis and pericardial disease",403,488,"Diseases of the circulatory system"
"CIR","2020","CIR007: Essential hypertension",13853,60,"Diseases of the circulatory system"
"CIR","2020","CIR008: Hypertens w/complication/secondary hypertens",3227,2035,"Diseases of the circulatory system"
"CIR","2020","CIR009: Acute myocardial infarction",2251,9023,"Diseases of the circulatory system"
"CIR","2020","CIR010: Complications of acute myocardial infarction",NA,NA,"Diseases of the circulatory system"
"CIR","2020","CIR011: Coronary atherosclerosis/oth heart disease",3409,2174,"Diseases of the circulatory system"
"CIR","2019","CIR032: Oth circulatory disease",316,130,"Diseases of the circulatory system"
"CIR","2019","CIR033: Acute phlebitis",5931,1998,"Diseases of the circulatory system"
"CIR","2019","CIR034: Chronic phlebitis",344,32,"Diseases of the circulatory system"
"CIR","2019","CIR035: Varicose veins of lower extremity",846,41,"Diseases of the circulatory system"
"CIR","2019","CIR036: Postthrombotic synd/venous insufficiency",422,113,"Diseases of the circulatory system"
"CIR","2019","CIR038: Postproc circulatory system complication",250,239,"Diseases of the circulatory system"
"CIR","2018","CIR014: Pulmonary heart disease",137,236,"Diseases of the circulatory system"
"CIR","2018","CIR015: Other and ill-defined heart disease",99,174,"Diseases of the circulatory system"
"CIR","2018","CIR016: Conduction disorders",651,994,"Diseases of the circulatory system"
"CIR","2018","CIR017: Cardiac dysrhythmias",12544,8856,"Diseases of the circulatory system"
"CIR","2018","CIR018: Cardiac arrest and ventricular fibrillation",3057,489,"Diseases of the circulatory system"
"CIR","2020","CIR024: Oth and ill-defined cerebrovascular disease",218,163,"Diseases of the circulatory system"
"CIR","2020","CIR026: Peripheral and visceral vascular disease",588,451,"Diseases of the circulatory system"
"CIR","2020","CIR027: Arterial dissections",210,222,"Diseases of the circulatory system"
"CIR","2020","CIR028: Gangrene",69,92,"Diseases of the circulatory system"
"CIR","2020","CIR029: Aortic/periph/visceral artery aneurysms",526,287,"Diseases of the circulatory system"
"CIR","2020","CIR030: Aortic/periph arterial embolism, thrombosis",100,254,"Diseases of the circulatory system"
"CIR","2020","CIR031: Hypotension",3361,1284,"Diseases of the circulatory system"
"CIR","2019","CIR008: Hypertens w/complication/secondary hypertens",3912,2470,"Diseases of the circulatory system"
"CIR","2019","CIR009: Acute myocardial infarction",2410,10559,"Diseases of the circulatory system"
"CIR","2019","CIR010: Complications of acute myocardial infarction",NA,16,"Diseases of the circulatory system"
"CIR","2019","CIR011: Coronary atherosclerosis/oth heart disease",4130,2650,"Diseases of the circulatory system"
"CIR","2019","CIR012: Nonspecific chest pain",102018,1660,"Diseases of the circulatory system"
"CIR","2019","CIR013: Acute pulmonary embolism",1420,4006,"Diseases of the circulatory system"
"CIR","2018","CIR034: Chronic phlebitis",365,38,"Diseases of the circulatory system"
"CIR","2018","CIR035: Varicose veins of lower extremity",767,46,"Diseases of the circulatory system"
"CIR","2018","CIR036: Postthrombotic synd/venous insufficiency",431,97,"Diseases of the circulatory system"
"CIR","2018","CIR038: Postproc circulatory system complication",229,201,"Diseases of the circulatory system"
"CIR","2018","CIR039: Oth specified diseases of veins & lymphatics",2594,313,"Diseases of the circulatory system"
"CIR","2020","CIR001: Chronic rheumatic heart disease",13,76,"Diseases of the circulatory system"
"CIR","2020","CIR002: Acute rheumatic heart disease",NA,NA,"Diseases of the circulatory system"
"CIR","2020","CIR003: Nonrheumatic and unspecified valve disorders",106,301,"Diseases of the circulatory system"
"CIR","2020","CIR004: Endocarditis and endocardial disease",26,119,"Diseases of the circulatory system"
"CIR","2019","CIR039: Oth specified diseases of veins & lymphatics",2457,317,"Diseases of the circulatory system"
"CIR","2020","CIR019: Heart failure",5501,14918,"Diseases of the circulatory system"
"CIR","2020","CIR020: Cerebral infarction",2082,8957,"Diseases of the circulatory system"
"CIR","2020","CIR021: Acute hemorrhagic cerebrovascular disease",1359,1514,"Diseases of the circulatory system"
"CIR","2020","CIR023: Occlusion of cerebral artery w/o infarction",277,257,"Diseases of the circulatory system"
"CIR","2019","CIR014: Pulmonary heart disease",164,236,"Diseases of the circulatory system"
"CIR","2019","CIR015: Other and ill-defined heart disease",88,166,"Diseases of the circulatory system"
"CIR","2020","CIR012: Nonspecific chest pain",79903,1391,"Diseases of the circulatory system"
"CIR","2020","CIR013: Acute pulmonary embolism",1437,3858,"Diseases of the circulatory system"
"CIR","2020","CIR014: Pulmonary heart disease",103,191,"Diseases of the circulatory system"
"CIR","2020","CIR015: Other and ill-defined heart disease",87,181,"Diseases of the circulatory system"
"CIR","2020","CIR016: Conduction disorders",552,930,"Diseases of the circulatory system"
"CIR","2020","CIR017: Cardiac dysrhythmias",11902,7324,"Diseases of the circulatory system"
"CIR","2020","CIR033: Acute phlebitis",4835,1708,"Diseases of the circulatory system"
"CIR","2020","CIR034: Chronic phlebitis",273,24,"Diseases of the circulatory system"
"CIR","2020","CIR035: Varicose veins of lower extremity",682,50,"Diseases of the circulatory system"
"CIR","2020","CIR036: Postthrombotic synd/venous insufficiency",319,68,"Diseases of the circulatory system"
"CIR","2020","CIR038: Postproc circulatory system complication",175,210,"Diseases of the circulatory system"
"CIR","2019","CIR018: Cardiac arrest and ventricular fibrillation",3062,530,"Diseases of the circulatory system"
"CIR","2020","CIR039: Oth specified diseases of veins & lymphatics",1663,219,"Diseases of the circulatory system"
"CIR","2019","CIR016: Conduction disorders",697,1076,"Diseases of the circulatory system"
"CIR","2019","CIR017: Cardiac dysrhythmias",13970,9000,"Diseases of the circulatory system"
"CIR","2020","CIR018: Cardiac arrest and ventricular fibrillation",3658,477,"Diseases of the circulatory system"
"CIR","2020","CIR032: Oth circulatory disease",275,114,"Diseases of the circulatory system"
"DIG","2016","DIG006: Gastrointestinal and biliary perforation",72,142,"Diseases of the digestive system"
"DIG","2017","DIG007: Gastritis and duodenitis",10290,1071,"Diseases of the digestive system"
"DIG","2016","DIG001: Intestinal infection",8624,4363,"Diseases of the digestive system"
"DIG","2017","DIG006: Gastrointestinal and biliary perforation",59,151,"Diseases of the digestive system"
"DIG","2016","DIG003: Diseases of mouth; excluding dental",8538,365,"Diseases of the digestive system"
"DIG","2016","DIG004: Esophageal disorders",6422,1446,"Diseases of the digestive system"
"DIG","2016","DIG005: Gastroduodenal ulcer",779,588,"Diseases of the digestive system"
"DIG","2017","DIG001: Intestinal infection",6885,3708,"Diseases of the digestive system"
"DIG","2016","DIG007: Gastritis and duodenitis",11730,1151,"Diseases of the digestive system"
"DIG","2017","DIG003: Diseases of mouth; excluding dental",6834,321,"Diseases of the digestive system"
"DIG","2017","DIG004: Esophageal disorders",5831,1332,"Diseases of the digestive system"
"DIG","2017","DIG005: Gastroduodenal ulcer",603,498,"Diseases of the digestive system"
"DIG","2018","DIG001: Intestinal infection",7850,3579,"Diseases of the digestive system"
"DIG","2018","DIG002: Disorders of teeth and gingiva",20409,233,"Diseases of the digestive system"
"DIG","2018","DIG003: Diseases of mouth; excluding dental",7763,379,"Diseases of the digestive system"
"DIG","2018","DIG004: Esophageal disorders",6521,1444,"Diseases of the digestive system"
"DIG","2016","DIG002: Disorders of teeth and gingiva",26458,244,"Diseases of the digestive system"
"DIG","2018","DIG006: Gastrointestinal and biliary perforation",87,165,"Diseases of the digestive system"
"DIG","2018","DIG007: Gastritis and duodenitis",10762,1224,"Diseases of the digestive system"
"DIG","2018","DIG008: Oth disorders of stomach and duodenum",880,696,"Diseases of the digestive system"
"DIG","2018","DIG009: Appendicitis & other appendiceal conditions",6125,2539,"Diseases of the digestive system"
"DIG","2017","DIG002: Disorders of teeth and gingiva",22558,223,"Diseases of the digestive system"
"DIG","2018","DIG011: Regional enteritis and ulcerative colitis",1690,1330,"Diseases of the digestive system"
"DIG","2018","DIG012: Intestinal obstruction and ileus",2785,6237,"Diseases of the digestive system"
"DIG","2016","DIG008: Oth disorders of stomach and duodenum",986,666,"Diseases of the digestive system"
"DIG","2016","DIG009: Appendicitis & other appendiceal conditions",6002,2784,"Diseases of the digestive system"
"DIG","2016","DIG010: Abdominal hernia",5855,1740,"Diseases of the digestive system"
"DIG","2016","DIG011: Regional enteritis and ulcerative colitis",1842,1404,"Diseases of the digestive system"
"DIG","2016","DIG012: Intestinal obstruction and ileus",2594,6297,"Diseases of the digestive system"
"DIG","2018","DIG005: Gastroduodenal ulcer",627,510,"Diseases of the digestive system"
"DIG","2019","DIG001: Intestinal infection",9159,3225,"Diseases of the digestive system"
"DIG","2019","DIG002: Disorders of teeth and gingiva",18697,198,"Diseases of the digestive system"
"DIG","2019","DIG003: Diseases of mouth; excluding dental",6964,327,"Diseases of the digestive system"
"DIG","2019","DIG004: Esophageal disorders",6833,1570,"Diseases of the digestive system"
"DIG","2018","DIG010: Abdominal hernia",5565,1772,"Diseases of the digestive system"
"DIG","2019","DIG006: Gastrointestinal and biliary perforation",96,145,"Diseases of the digestive system"
"DIG","2019","DIG007: Gastritis and duodenitis",11033,1343,"Diseases of the digestive system"
"DIG","2019","DIG008: Oth disorders of stomach and duodenum",876,741,"Diseases of the digestive system"
"DIG","2019","DIG009: Appendicitis & other appendiceal conditions",6105,2341,"Diseases of the digestive system"
"DIG","2019","DIG010: Abdominal hernia",6064,1819,"Diseases of the digestive system"
"DIG","2019","DIG011: Regional enteritis and ulcerative colitis",1708,1285,"Diseases of the digestive system"
"DIG","2019","DIG012: Intestinal obstruction and ileus",3159,6412,"Diseases of the digestive system"
"DIG","2017","DIG008: Oth disorders of stomach and duodenum",913,646,"Diseases of the digestive system"
"DIG","2017","DIG009: Appendicitis & other appendiceal conditions",5433,2475,"Diseases of the digestive system"
"DIG","2017","DIG010: Abdominal hernia",5306,1677,"Diseases of the digestive system"
"DIG","2017","DIG011: Regional enteritis and ulcerative colitis",1606,1280,"Diseases of the digestive system"
"DIG","2017","DIG012: Intestinal obstruction and ileus",2587,5783,"Diseases of the digestive system"
"DIG","2019","DIG005: Gastroduodenal ulcer",598,532,"Diseases of the digestive system"
"DIG","2020","DIG001: Intestinal infection",3653,2249,"Diseases of the digestive system"
"DIG","2020","DIG002: Disorders of teeth and gingiva",13033,132,"Diseases of the digestive system"
"DIG","2020","DIG003: Diseases of mouth; excluding dental",4039,254,"Diseases of the digestive system"
"DIG","2020","DIG004: Esophageal disorders",4954,1446,"Diseases of the digestive system"
"DIG","2020","DIG005: Gastroduodenal ulcer",496,458,"Diseases of the digestive system"
"DIG","2020","DIG006: Gastrointestinal and biliary perforation",68,129,"Diseases of the digestive system"
"DIG","2020","DIG007: Gastritis and duodenitis",8182,1235,"Diseases of the digestive system"
"DIG","2020","DIG008: Oth disorders of stomach and duodenum",781,693,"Diseases of the digestive system"
"DIG","2020","DIG009: Appendicitis & other appendiceal conditions",5798,2100,"Diseases of the digestive system"
"DIG","2020","DIG010: Abdominal hernia",4896,1620,"Diseases of the digestive system"
